cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std,most_biased_users,p_over_r
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,most_biased,fedavot,5,0.03524439876,0.0014863661534299606,nan,nan,99,1.1254924029262803
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,most_biased,fedavg,5,0.05762703384,0.002164992771384811,nan,nan,99,1.1254924029262803
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,most_biased,full,5,0.0309168426,0.0,nan,nan,99,1.1254924029262803
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Other,fedavot,5,0.02779866,0.001348366577159194,0.2047582,0.00017794650881655332,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Other,fedavg,5,0.04149422,0.001388806997966239,0.2098728,0.0003609822156284216,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Other,full,5,0.0278196,0.0,0.203774,0.0,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,fedavot,5,0.1198528,0.0022947413274702656,0.2047582,0.00017794650881655332,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,fedavg,5,0.1465956,0.0019840650795777863,0.2098728,0.0003609822156284216,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0,,
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,most_biased,fedavot,5,0.1198124072,0.0023288412977078878,nan,nan,98,0.5961038651374616
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,most_biased,fedavg,5,0.1465589016,0.002028340931207139,nan,nan,98,0.5961038651374616
adult_beta0.75_const,adult,infeasible,0.75,const,0.0,most_biased,full,5,0.118311754,0.0,nan,nan,98,0.5961038651374616
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,fedavot,5,0.03091228,0.0009831309117304778,0.2075576,5.88238047052407e-05,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,fedavg,5,0.04443926,0.0013257526822148986,0.212563,0.00030664572392258044,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Other,full,5,0.0309206,0.0,0.207304,0.0,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,fedavot,5,0.1230928,0.0018756194070226504,0.2075576,5.88238047052407e-05,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,fedavg,5,0.1480978,0.0017170330689884798,0.212563,0.00030664572392258044,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0,,
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,most_biased,fedavot,5,0.1230920928,0.0018723680317790522,nan,nan,98,0.5961038651374616
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,most_biased,fedavg,5,0.1480946756,0.0017347565534907257,nan,nan,98,0.5961038651374616
adult_beta0.75_decay1000,adult,infeasible,0.75,decay1000,0.0,most_biased,full,5,0.122708888,0.0,nan,nan,98,0.5961038651374616
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,fedavot,5,0.028717780000000002,0.0002753251779260295,0.2045332,6.545043926513638e-05,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,fedavg,5,0.03224516,0.0002869922967607312,0.204754,4.403634862247441e-05,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Other,full,5,0.0278196,0.0,0.203774,0.0,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,fedavot,5,0.11949560000000001,0.0022638079953918333,0.2045332,6.545043926513638e-05,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,fedavg,5,0.1273978,0.0024543821544331652,0.204754,4.403634862247441e-05,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0,,
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,most_biased,fedavot,5,0.119394758,0.002264512906126702,nan,nan,98,0.385695331543707
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,most_biased,fedavg,5,0.12729043240000001,0.0024649212717840407,nan,nan,98,0.385695331543707
adult_beta1.00_const,adult,infeasible,1.0,const,0.0,most_biased,full,5,0.118311754,0.0,nan,nan,98,0.385695331543707
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavot,5,0.0317922,0.0005133994039731636,0.20748,5.128352561983135e-05,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavg,5,0.03516812,0.0005611781941593961,0.207673,3.316021712835915e-05,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,fedavg_mk,5,999997000000.0,0.0,1000000000000.0,0.0,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Other,full,5,0.0309206,0.0,0.207304,0.0,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavot,5,0.122892,0.0010482610361927974,0.20748,5.128352561983135e-05,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavg,5,0.1302152,0.0011813054473759055,0.207673,3.316021712835915e-05,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,fedavg_mk,5,999997000000.0,0.0,1000000000000.0,0.0,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0,,
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,most_biased,fedavot,5,0.1228644844,0.0010693743342238202,nan,nan,98,0.385695331543707
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,most_biased,fedavg,5,0.1301863804,0.0012058360677063146,nan,nan,98,0.385695331543707
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,most_biased,fedavg_mk,5,1000000000000.0,0.0,nan,nan,98,0.385695331543707
adult_beta1.00_decay1000,adult,infeasible,1.0,decay1000,0.0,most_biased,full,5,0.122708888,0.0,nan,nan,98,0.385695331543707
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,fedavot,5,86.85276,1.1580174413194289,95.62948,0.4416084754621459,,
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,fedavg,5,89.77665999999999,1.1729958305126251,94.75928,0.6524560043405228,,
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,most_biased,fedavot,5,281.63372392,22.987862431224904,nan,nan,0,1.303411846040315
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,most_biased,fedavg,5,347.833614,8.737869082362998,nan,nan,0,1.303411846040315
imdb_beta0.00_const,imdbwiki,infeasible,0.0,const,0.31290673463385943,most_biased,full,5,224.55,0.0,nan,nan,0,1.303411846040315
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavot,5,76.99482,0.7328334282768503,86.06122,0.21076378626319708,,
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavg,5,86.41756,1.0031902942114217,91.62952,0.5648239137996874,,
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,fedavg_mk,5,8662.0974,17044.524837618108,8503.5216,16710.360802688487,,
imdb_beta0.00_decay1000,imdbwiki,infeasible,0.0,decay1000,0.31290673463385943,tier1,full,5,72.2286,0.0,82.9485,0.0,,
